date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:25:52	61554/61554	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jul%202023%2019:07:14%20GMT	https://html.themefax.com/edufax/index.html	C:/Users/Mega%20Computers/Desktop/samad%20web/html.themefax.com/edufax/index.html	(from )
05:25:52	708/708	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Oct%202023%2012:25:52%20GMT	https://html.themefax.com/robots.txt		(from )
05:25:53	2219/2219	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jul%202023%2018:01:44%20GMT	https://html.themefax.com/edufax/images/favicon.png	C:/Users/Mega%20Computers/Desktop/samad%20web/html.themefax.com/edufax/images/favicon.png	(from https://html.themefax.com/edufax/index.html)
05:25:53	59348/59348	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jul%202023%2018:01:44%20GMT	https://html.themefax.com/edufax/css/all.min.css	C:/Users/Mega%20Computers/Desktop/samad%20web/html.themefax.com/edufax/css/all.min.css	(from https://html.themefax.com/edufax/index.html)
05:25:53	220785/220785	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jul%202023%2018:01:44%20GMT	https://html.themefax.com/edufax/css/bootstrap.min.css	C:/Users/Mega%20Computers/Desktop/samad%20web/html.themefax.com/edufax/css/bootstrap.min.css	(from https://html.themefax.com/edufax/index.html)
05:25:54	59839/59839	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jul%202023%2018:01:44%20GMT	https://html.themefax.com/edufax/css/animate.css	C:/Users/Mega%20Computers/Desktop/samad%20web/html.themefax.com/edufax/css/animate.css	(from https://html.themefax.com/edufax/index.html)
05:25:54	3875/3875	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jul%202023%2018:01:44%20GMT	https://html.themefax.com/edufax/css/nice-select.css	C:/Users/Mega%20Computers/Desktop/samad%20web/html.themefax.com/edufax/css/nice-select.css	(from https://html.themefax.com/edufax/index.html)
05:25:55	1895/1895	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jul%202023%2018:01:44%20GMT	https://html.themefax.com/edufax/css/slick.css	C:/Users/Mega%20Computers/Desktop/samad%20web/html.themefax.com/edufax/css/slick.css	(from https://html.themefax.com/edufax/index.html)
05:25:55	18727/18727	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jul%202023%2018:01:44%20GMT	https://html.themefax.com/edufax/css/venobox.min.css	C:/Users/Mega%20Computers/Desktop/samad%20web/html.themefax.com/edufax/css/venobox.min.css	(from https://html.themefax.com/edufax/index.html)
05:25:55	14314/14314	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jul%202023%2018:01:44%20GMT	https://html.themefax.com/edufax/css/videoPlayer.min.css	C:/Users/Mega%20Computers/Desktop/samad%20web/html.themefax.com/edufax/css/videoPlayer.min.css	(from https://html.themefax.com/edufax/index.html)
